
## output/constellation_lines_simplified_by_RA_Dec.dat

# -------------------------------------------------
# Copyright 2015-2019 Dominic Ford
#
# This file defines stick figures which can be used to depict the 88
# astronomical constellations.
#
# This data is free software: you can redistribute it and/or modify it under
# the terms of the GNU General Public License as published by the Free Software
# Foundation, either version 3 of the License, or (at your option) any later
# version.
#
# This data is distributed in the hope that it will be useful, but WITHOUT ANY
# WARRANTY; without even the implied warranty of MERCHANTABILITY or FITNESS FOR
# A PARTICULAR PURPOSE.  See the GNU General Public License for more details.
#
# You should have received a copy of the GNU General Public License along with
# Pi Gazing.  If not, see <http://www.gnu.org/licenses/>.
# -------------------------------------------------
#
# INSTRUCTIONS
# ------------
#
# There is no defined standard shared between planetarium programs for which
# stars should be connected in order to construct stick figures. However, the
# idea of drawing such stick figures was popularised by H.A. Rey in his 1952
# children's book "The Stars: A New Way To See Them". Most planetarium programs
# use some simplifications of the figures which appear in Rey's book.
#
# This file lists some simplified stick figures, invented by the author
# (Dominic Ford). They are similar to those used in many planetarium programs,
# but considerably simpler than those which appear in Rey's book. Specifically,
# some of Rey's stick figures include connections to very faint stars (mag
# 5-6), whereas the figures below mostly only include stars of fourth magnitude
# or brighter, except in the faintest constellations.
#
# If you'd prefer to use H.A. Rey's more complicated stick figures, you can
# find these in an alternative file in my GitHub repository:
# <https://github.com/dcf21/constellation-stick-figures>.
#
###
## Each line of this file lists a pair of stars, referenced by their right
## ascensions (col 2 and 4) and declinations (col 3 and 5). To construct stick
## figures, draw a line between each of the pairs of stars defined on the lines
## of this file.
#
# In my GitHub repository,
# <https://github.com/dcf21/constellation-stick-figures>, you can find the same
# stick figures defined in a range of other data formats.


Centaurus            182.912500   -52.368611   182.087500   -50.722500 
Centaurus            182.087500   -50.722500   187.008333   -50.230556 
Centaurus            187.008333   -50.230556   190.379167   -48.959722 
Centaurus            190.379167   -48.959722   204.970833   -53.466389 
Centaurus            204.970833   -53.466389   210.954167   -60.373056 
Centaurus            204.970833   -53.466389   219.895833   -60.835278 
Centaurus            204.970833   -53.466389   208.883333   -47.288333 
Centaurus            208.883333   -47.288333   207.404167   -42.473889 
Centaurus            207.404167   -42.473889   207.375000   -41.687778 
Centaurus            207.375000   -41.687778   200.145833   -36.712222 
Centaurus            207.375000   -41.687778   211.670833   -36.370000 
Centaurus            207.375000   -41.687778   218.875000   -42.157778 
Centaurus            218.875000   -42.157778   224.787500   -42.104167 

Cepheus              307.391667    62.994167   311.320833    61.838889 
Cepheus              311.320833    61.838889   319.641667    62.585556 
Cepheus              319.641667    62.585556   322.162500    70.560833 
Cepheus              322.162500    70.560833   354.833333    77.632500 
Cepheus              354.833333    77.632500   342.416667    66.200556 
Cepheus              342.416667    66.200556   332.712500    58.201111 
Cepheus              332.712500    58.201111   333.758333    57.043611 
Cepheus              333.758333    57.043611   337.291667    58.415278 
Cepheus              332.712500    58.201111   319.641667    62.585556 

Cetus                 45.566667     4.089722    44.925000     8.907500 
Cetus                 44.925000     8.907500    41.233333    10.114167 
Cetus                 41.233333    10.114167    37.037500     8.460000 
Cetus                 37.037500     8.460000    40.825000     3.235833 
Cetus                 40.825000     3.235833    45.566667     4.089722 
Cetus                 40.825000     3.235833    39.870833     0.328611 
Cetus                 39.870833     0.328611    35.550000    -0.885000 
Cetus                 35.550000    -0.885000    27.862500   -10.335000 
Cetus                 27.862500   -10.335000    26.016667   -15.937500 
Cetus                 26.016667   -15.937500    10.895833   -17.986667 
Cetus                 10.895833   -17.986667     4.854167    -8.823889 
Cetus                  4.854167    -8.823889    17.145833   -10.182222 
Cetus                 17.145833   -10.182222    21.004167    -8.183333 
Cetus                 21.004167    -8.183333    27.862500   -10.335000 

Chamaeleon           158.866667   -78.607778   184.583333   -79.312222 
Chamaeleon           184.583333   -79.312222   161.441667   -80.540278 
Chamaeleon           161.441667   -80.540278   158.866667   -78.607778 
Chamaeleon           158.866667   -78.607778   124.629167   -76.919722 
Chamaeleon           124.629167   -76.919722   125.158333   -77.484444 
Chamaeleon           125.158333   -77.484444   141.037500   -80.786944 

Circinus             229.375000   -58.801111   220.625000   -64.975278 
Circinus             220.625000   -64.975278   230.841667   -59.320833 

Columba               95.525000   -33.436389    94.137500   -35.140556 
Columba               94.137500   -35.140556    89.383333   -35.283333 
Columba               89.383333   -35.283333    87.737500   -35.768333 
Columba               87.737500   -35.768333    84.908333   -34.074167 
Columba               84.908333   -34.074167    82.800000   -35.470556 
Columba               87.737500   -35.768333    89.783333   -42.815278 

ComaBerenices        197.495833    17.529444   197.966667    27.878056 
ComaBerenices        197.966667    27.878056   186.733333    28.268333 

CoronaAustralis      282.208333   -43.680000   285.775000   -42.095278 
CoronaAustralis      285.775000   -42.095278   287.083333   -40.496667 
CoronaAustralis      287.083333   -40.496667   287.504167   -39.340833 
CoronaAustralis      287.504167   -39.340833   287.366667   -37.904444 
CoronaAustralis      287.366667   -37.904444   286.604167   -37.063333 
CoronaAustralis      286.604167   -37.063333   284.679167   -37.107500 
